index,recipe_id,product_id,amount,measure
0.0,0,0,500,gram
1.0,0,1,1,
2.0,0,2,1,
3.0,0,3,400,gram
4.0,0,4,2,łyżka
5.0,0,5,,
6.0,0,6,2,
7.0,0,7,,
8.0,1,8,50,
9.0,1,9,3/4,litr
10.0,1,10,3/4,kilogram
11.0,1,11,2,
12.0,1,12,3,
13.0,1,13,1,litr
14.0,2,14,100,gram
15.0,2,15,500,gram
16.0,2,16,1,litr
17.0,2,17,100,gram
18.0,2,2,1,
19.0,2,18,6,ząbek
20.0,2,19,15,gram
21.0,2,20,3,łyżka
22.0,2,21,1,łyżeczka
23.0,2,5,,
24.0,2,22,100,mililitr
25.0,2,23,300,gram
26.0,3,24,1,kilogram
27.0,3,25,250,gram
28.0,3,6,1,
29.0,3,7,1,łyżka
30.0,3,26,1/2,łyżeczka
31.0,3,27,3,łyżka
32.0,4,24,150,gram
33.0,4,28,2,
34.0,4,19,45,gram
35.0,4,29,2,
36.0,4,30,,
37.0,4,31,1,łyżka
38.0,4,32,1,mililitr
39.0,4,33,,
40.0,5,34,500,mililitr
41.0,5,35,500,gram
42.0,5,36,3,łyżka
43.0,6,37,1,
44.0,6,2,1/4,szklanka
45.0,6,24,3/4,szklanka
46.0,6,38,1/4,szklanka
47.0,6,39,1/4,łyżeczka
48.0,6,18,1/4,łyżeczka
49.0,6,40,1/4,łyżeczka
50.0,6,5,,
51.0,7,41,300,gram
52.0,7,42,2,
53.0,7,4,20,gram
54.0,7,38,150,gram
55.0,7,6,2,
56.0,7,7,50,gram
57.0,7,43,1,łyżeczka
58.0,7,5,1,łyżeczka
59.0,7,40,1/4,łyżeczka
60.0,7,20,,
61.0,8,44,300,gram
62.0,8,45,100,gram
63.0,8,20,1,łyżka
64.0,8,2,1,
65.0,8,46,75,gram
66.0,8,47,150,gram
67.0,8,48,1,łyżka
68.0,8,11,1/2,
69.0,8,33,2,łyżka
70.0,8,39,3,łyżka
71.0,9,27,150,gram
72.0,9,49,1,szklanka
73.0,9,6,1,
74.0,9,24,450,gram
75.0,9,50,200,gram
76.0,9,51,200,gram
77.0,9,52,4,
78.0,9,18,3,ząbek
79.0,10,53,300,gram
80.0,10,54,200,gram
81.0,10,27,185,gram
82.0,10,6,3,
83.0,10,7,90,gram
84.0,10,10,230,gram
85.0,10,43,3/4,łyżeczka
86.0,10,55,1/2,łyżeczka
87.0,11,44,1,kilogram
88.0,11,56,3,
89.0,11,2,1,
90.0,11,57,4,łyżka
91.0,11,58,5,łyżka
92.0,11,39,5,łyżka
93.0,11,59,75,gram
94.0,12,60,1,kilogram
95.0,12,53,80,gram
96.0,12,51,500,gram
97.0,12,61,150,gram
98.0,12,62,2,
99.0,12,11,1,
100.0,13,24,250,gram
101.0,13,38,250,gram
102.0,13,7,35,dekagram
103.0,13,6,2,
104.0,13,43,2,łyżeczka
105.0,13,63,250,mililitr
106.0,13,39,60,mililitr
107.0,14,64,1,kilogram
108.0,14,65,100,gram
109.0,14,6,5,
110.0,14,66,100,gram
111.0,14,2,2,
112.0,14,20,2,łyżka
113.0,14,67,1,łyżeczka
114.0,15,61,1,
115.0,15,68,280,gram
116.0,15,2,2,
117.0,15,69,200,mililitr
118.0,15,70,1,
119.0,15,71,50,gram
120.0,16,72,240,gram
121.0,16,73,100,gram
122.0,16,2,1,
123.0,16,6,2,
124.0,16,74,1,łyżka
125.0,16,75,8,łyżka
126.0,16,20,100,mililitr
127.0,17,76,500,gram
128.0,17,39,1/4,szklanka
129.0,17,58,1/4,szklanka
130.0,17,11,1/2,łyżka
131.0,17,48,1,łyżka
132.0,17,18,1,łyżeczka
133.0,17,40,1,łyżeczka
134.0,17,77,1/2,łyżeczka
135.0,18,45,6,
136.0,18,24,1/2,kilogram
137.0,18,2,1,
138.0,18,18,1,ząbek
139.0,18,39,3,łyżeczka
140.0,18,11,1/2,
141.0,18,58,2,łyżka
142.0,18,33,1,łyżka
143.0,18,6,2,
144.0,19,24,2,kilogram
145.0,19,73,200,gram
146.0,19,6,2,
147.0,19,27,100,gram
148.0,19,7,1,łyżka
149.0,19,78,500,mililitr
150.0,19,18,2,ząbek
151.0,20,24,300,gram
152.0,20,6,3,
153.0,20,7,3,łyżka
154.0,20,78,2,łyżka
155.0,20,27,1,łyżka
156.0,20,44,500,gram
157.0,20,25,200,gram
158.0,20,2,1,
159.0,21,53,200,gram
160.0,21,79,1,kilogram
161.0,21,73,1,szklanka
162.0,21,80,50,gram
163.0,21,4,35,gram
164.0,21,2,1,
165.0,21,16,1/2,szklanka
166.0,21,52,2,
167.0,21,39,1,łyżka
168.0,22,27,4,łyżka
169.0,22,2,1,
170.0,22,45,450,gram
171.0,22,7,3,łyżka
172.0,22,70,1,łyżka
173.0,22,16,3,szklanka
174.0,22,78,1,szklanka
175.0,22,63,1/2,szklanka
176.0,22,11,1/2,
177.0,22,74,1,łyżka
178.0,23,24,450,gram
179.0,23,81,500,gram
180.0,23,18,4,ząbek
181.0,23,51,150,gram
182.0,23,52,4,
183.0,23,27,2,łyżka
184.0,24,82,50,gram
185.0,24,83,1,
186.0,24,84,100,gram
187.0,24,74,4,łyżka
188.0,24,85,3,
189.0,24,18,2,ząbek
190.0,24,86,3,szklanka
191.0,24,5,1/2,łyżka
192.0,25,42,4,
193.0,25,87,4,
194.0,25,20,2,łyżka
195.0,25,18,4,ząbek
196.0,25,5,1/2,łyżeczka
197.0,25,40,1/8,łyżeczka
198.0,25,6,6,
199.0,25,78,1/4,szklanka
200.0,25,88,1/4,szklanka
201.0,25,43,1/2,łyżeczka
202.0,26,76,1,kilogram
203.0,26,12,5,
204.0,26,39,1/4,szklanka
205.0,26,89,4,łyżka
206.0,26,90,2,
207.0,26,18,4,ząbek
208.0,26,33,1,łyżka
209.0,26,5,2,łyżeczka
210.0,27,16,1500,mililitr
211.0,27,73,225,gram
212.0,27,24,225,gram
213.0,27,91,2,
214.0,27,18,2,ząbek
215.0,27,39,2,łyżka
216.0,27,92,300,mililitr
217.0,27,93,4,łyżka
218.0,27,63,3,łyżka
219.0,28,94,2,kilogram
220.0,28,92,200,mililitr
221.0,28,48,2,łyżka
222.0,28,11,1,
223.0,28,28,1,
224.0,28,18,5,ząbek
225.0,28,20,3,łyżka
226.0,28,5,1,łyżka
227.0,28,40,1,łyżeczka
228.0,29,44,1,kilogram
229.0,29,2,1,
230.0,29,71,150,gram
231.0,29,95,300,mililitr
232.0,29,50,80,gram
233.0,29,6,1,
234.0,30,52,6,
235.0,30,24,50,gram
236.0,30,18,3,ząbek
237.0,31,24,50,gram
238.0,31,6,2,
239.0,31,39,1,łyżka
240.0,31,2,1,
241.0,32,79,500,gram
242.0,32,2,1,
243.0,32,18,2,ząbek
244.0,32,75,3,łyżka
245.0,32,6,3,
246.0,32,96,100,gram
248.0,32,4,2,łyżka
249.0,32,27,2,łyżka
,33,2,8,
,33,97,3,
,33,27,1,łyżka
,33,18,2,ząbek
,33,92,3,łyżka
,33,16,1,szklanka
,33,34,1,szklanka
,34,24,200,gram
,34,37,1,
,34,11,2,
,34,98,1/2,łyżeczka
,34,39,2,łyżeczka
,34,29,3,
,34,83,1,
,34,52,4,
,34,41,400,gram
,34,4,100,gram
,34,99,100,gram
,35,44,1,kilogram
,35,78,100,mililitr
,35,26,1/4,łyżeczka
,35,2,1,
,35,18,4,ząbek
,35,20,1,łyżeczka
,35,24,500,gram
,35,78,50,mililitr
,35,6,7,
,35,100,50,gram
,36,24,400,gram
,36,27,1,łyżka
,36,34,100,mililitr
,36,101,200,gram
,36,102,100,gram
,36,18,4,ząbek
,36,6,3,
,37,18,30,ząbek
,37,39,100,mililitr
,37,2,1,
,37,103,700,gram
,37,104,3,
,37,67,8,gram
,37,73,80,gram
,37,105,500,mililitr
,37,11,3/4,
,37,106,3,łyżka
,37,1,1,
,38,24,400,gram
,38,107,4,
,38,27,3,łyżka
,38,108,20,gram
,39,24,200,gram
,39,28,2,
,39,38,150,gram
,39,109,4,łyżka
,39,110,1,łyżka
,39,18,1,ząbek
,40,78,2,litr
,40,111,4,łyżka
,41,44,500,gram
,41,70,1,
,41,112,80,gram
,41,24,120,gram
,41,113,3,łyżka
,41,39,2,łyżka
,41,18,1,ząbek
,42,24,800,gram
,42,95,250,mililitr
,42,27,1,łyżka
,42,7,1,łyżka
,42,11,1,
